Season,Age,Team,Pos,G,GS,Tgt,Rec,Rec_Yds,Rec_1D,Rec_AirYds,Rec_AirYds/R,Rec_YAC,Rec_YAC/R,Rec_aDOT,Rec_BrkTkl,Rec_BrkTkl/R,Rec_Drops,Rec_Drop%,Rec_Int,Rec_PassRtg,Rush_Att,Rush_Yds,Rush_1D,Rush_YBC,Rush_YAC,Rush_BrkTkl,Awards,Player,PlayerID,Lg,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,rec_pass_rating,Att,Yds.1,1D.1,YBC.1,YBC/Att,YAC.1,YAC/Att,BrkTkl.1,Att/Br,awards,Rush_YBC/A,Rush_YAC/A,Rush_BrkTkl/A
2021,28,ATL,TE,13,5,31,26,221.0,11.0,132.0,5.1,89.0,3.4,6.6,2.0,13.0,0.0,0.0,1.0,115.2,0.0,0.0,0.0,0.0,0.0,0.0,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,29,CIN,TE,13,13,68,52,414.0,29.0,222.0,4.3,192.0,3.7,4.9,5.0,10.4,2.0,2.9,1.0,94.9,0.0,0.0,0.0,0.0,0.0,0.0,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,CAR,TE,9,8,32,18,184.0,7.0,117.0,6.5,67.0,3.7,7.6,1.0,18.0,2.0,6.3,2.0,57.3,0.0,0.0,0.0,0.0,0.0,0.0,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,LAC,TE,9,2,13,8,73.0,2.0,53.0,6.6,20.0,2.5,4.8,0.0,,2.0,15.4,0.0,76.8,0.0,0.0,0.0,0.0,0.0,0.0,,Hayden Hurst,HursHa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,24,LAC,TE,0,0,0,0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,25,LAC,TE,12,12,76,55,652.0,36.0,488.0,8.9,164.0,3.0,10.2,0.0,,4.0,5.3,1.0,114.6,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,26,LAC,TE,14,14,93,60,613.0,35.0,387.0,6.5,226.0,3.8,8.0,3.0,20.0,2.0,2.2,1.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,27,NWE,TE,17,10,75,50,603.0,35.0,459.0,9.2,144.0,2.9,9.7,1.0,50.0,0.0,0.0,2.0,119.6,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,28,NWE,TE,17,14,59,41,509.0,23.0,306.0,7.5,203.0,5.0,7.7,0.0,,3.0,5.1,1.0,100.2,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,NWE,TE,14,10,61,42,419.0,29.0,341.0,8.1,78.0,1.9,8.8,1.0,42.0,3.0,4.9,2.0,107.2,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,30,NWE,TE,16,16,97,66,674.0,40.0,406.0,6.2,268.0,4.1,7.0,2.0,33.0,2.0,2.1,1.0,90.3,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,31,NWE,TE,17,17,87,60,768.0,42.0,433.0,7.2,335.0,5.6,8.0,1.0,60.0,3.0,3.4,2.0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,,Hunter Henry,HenrHu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,22,CAR,TE,16,6,49,36,333.0,20.0,175.0,4.9,158.0,4.4,6.2,2.0,18.0,3.0,6.1,2.0,88.2,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,23,CAR,TE,16,3,30,16,136.0,10.0,63.0,3.9,73.0,4.6,7.1,0.0,,3.0,10.0,1.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,24,CAR,TE,16,8,31,20,145.0,11.0,67.0,3.4,78.0,3.9,6.3,0.0,,1.0,3.2,2.0,59.2,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,25,CAR,TE,17,13,30,18,188.0,6.0,96.0,5.3,92.0,5.1,6.2,1.0,18.0,4.0,13.3,3.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,26,CAR,TE,17,17,30,21,197.0,8.0,15.0,0.7,182.0,8.7,2.3,2.0,10.5,3.0,10.0,0.0,87.8,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,27,CAR,TE,12,5,9,5,56.0,1.0,23.0,4.6,33.0,6.6,8.7,1.0,5.0,1.0,11.1,1.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,28,CAR,TE,5,2,6,3,7.0,1.0,1.0,0.3,6.0,2.0,4.2,0.0,,1.0,16.7,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,29,LVR,TE,15,10,13,13,114.0,5.0,42.0,3.2,72.0,5.5,3.2,0.0,,0.0,0.0,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,,Ian Thomas,ThomIa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,31,OAK,TE,16,14,101,68,896.0,46.0,553.0,8.1,343.0,5.0,8.3,4.0,17.0,9.0,8.9,4.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,PB,Jared Cook,CookJa02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,32,NOR,TE,14,7,65,43,705.0,32.0,451.0,10.5,254.0,5.9,10.3,3.0,14.3,4.0,6.2,1.0,135.6,0.0,0.0,0.0,0.0,0.0,0.0,PB,Jared Cook,CookJa02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,33,NOR,TE,15,5,60,37,504.0,27.0,380.0,10.3,124.0,3.4,11.5,2.0,18.5,2.0,3.3,1.0,120.4,0.0,0.0,0.0,0.0,0.0,0.0,,Jared Cook,CookJa02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,34,LAC,TE,16,10,83,48,564.0,31.0,326.0,6.8,238.0,5.0,8.3,0.0,,6.0,7.2,4.0,74.6,0.0,0.0,0.0,0.0,0.0,0.0,,Jared Cook,CookJa02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,37,DAL,TE,16,16,83,63,529.0,27.0,367.0,5.8,162.0,2.6,6.6,0.0,,6.0,7.2,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,,Jason Witten,WittJa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,38,LVR,TE,16,7,17,13,69.0,8.0,49.0,3.8,20.0,1.5,5.4,0.0,,0.0,0.0,0.0,121.9,0.0,0.0,0.0,0.0,0.0,0.0,,Jason Witten,WittJa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,32,GNB,TE,16,12,89,55,636.0,32.0,375.0,6.8,261.0,4.7,9.5,2.0,27.5,3.0,3.4,2.0,81.5,0.0,0.0,0.0,0.0,0.0,0.0,,Jimmy Graham,GrahJi00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,33,GNB,TE,16,10,60,38,447.0,23.0,204.0,5.4,243.0,6.4,8.9,2.0,19.0,2.0,3.3,0.0,102.6,0.0,0.0,0.0,0.0,0.0,0.0,,Jimmy Graham,GrahJi00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,34,CHI,TE,16,15,76,50,456.0,32.0,258.0,5.2,198.0,4.0,6.8,1.0,50.0,1.0,1.3,3.0,100.5,0.0,0.0,0.0,0.0,0.0,0.0,,Jimmy Graham,GrahJi00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,CHI,TE,15,6,23,14,167.0,10.0,112.0,8.0,55.0,3.9,8.0,0.0,,1.0,4.3,0.0,122.6,0.0,0.0,0.0,0.0,0.0,0.0,,Jimmy Graham,GrahJi00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,37,NOR,TE,13,2,7,6,39.0,6.0,36.0,6.0,3.0,0.5,6.0,0.0,,1.0,14.3,0.0,129.5,0.0,0.0,0.0,0.0,0.0,0.0,,Jimmy Graham,GrahJi00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,23,TEN,TE,13,12,30,20,258.0,10.0,78.0,3.9,180.0,9.0,5.2,4.0,5.0,3.0,10.0,2.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,24,TEN,TE,16,14,44,35,439.0,16.0,166.0,4.7,273.0,7.8,5.3,6.0,5.8,2.0,4.5,1.0,121.5,4.0,78.0,2.0,7.0,71.0,1.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,1.8,17.8,4.0
2020,25,TEN,TE,15,14,65,41,448.0,25.0,210.0,5.1,238.0,5.8,5.5,2.0,20.5,3.0,4.6,2.0,110.1,2.0,4.0,1.0,4.0,0.0,0.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,
2021,26,NWE,TE,16,11,45,28,294.0,15.0,62.0,2.2,232.0,8.3,5.5,2.0,14.0,4.0,8.9,2.0,70.0,9.0,40.0,2.0,16.0,24.0,0.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2.7,
2022,27,NWE,TE,14,8,38,27,245.0,9.0,45.0,1.7,200.0,7.4,3.1,9.0,3.0,2.0,5.3,1.0,77.2,1.0,5.0,1.0,5.0,0.0,0.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,
2023,28,ATL,TE,17,6,70,50,582.0,26.0,225.0,4.5,357.0,7.1,6.5,6.0,8.3,4.0,5.7,2.0,98.6,1.0,0.0,0.0,0.0,0.0,0.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
2024,29,MIA,TE,17,6,111,88,884.0,55.0,374.0,4.3,510.0,5.8,4.9,8.0,11.0,6.0,5.4,0.0,123.9,2.0,-1.0,0.0,-1.0,0.0,0.0,PB,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,0.0,
2025,30,PIT,TE,17,7,54,38,222.0,10.0,43.0,1.1,179.0,4.7,4.3,3.0,12.7,2.0,3.7,0.0,90.2,9.0,70.0,3.0,29.0,41.0,3.0,,Jonnu Smith,SmitJo01,,,,,,,,,,,,,,,,,,,,,,,,,3.2,4.6,3.0
2021,21,ATL,TE,17,15,110,68,1026.0,43.0,713.0,10.5,313.0,4.6,10.8,3.0,22.7,6.0,5.5,5.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,PB,Kyle Pitts,PittKy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,22,ATL,TE,10,10,59,28,356.0,20.0,230.0,8.2,126.0,4.5,13.8,0.0,,3.0,5.1,1.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,,Kyle Pitts,PittKy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,23,ATL,TE,17,15,90,53,667.0,35.0,533.0,10.1,134.0,2.5,11.4,0.0,,4.0,4.4,2.0,83.9,1.0,-4.0,0.0,-4.0,0.0,0.0,,Kyle Pitts,PittKy00,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,0.0,
2024,24,ATL,TE,17,15,74,47,602.0,21.0,330.0,7.0,272.0,5.8,8.6,4.0,11.8,4.0,5.4,4.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,,Kyle Pitts,PittKy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,25,ATL,TE,17,17,118,88,928.0,51.0,528.0,6.0,400.0,4.5,7.4,2.0,44.0,2.0,1.7,3.0,100.5,0.0,0.0,0.0,0.0,0.0,0.0,AP-2,Kyle Pitts,PittKy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,34,GNB,TE,16,4,4,3,39.0,1.0,8.0,2.7,31.0,10.3,1.3,0.0,,0.0,0.0,0.0,105.2,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,35,GNB,TE,16,11,19,15,156.0,8.0,74.0,4.9,82.0,5.5,5.7,0.0,,0.0,0.0,0.0,118.4,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,36,GNB,TE,15,15,17,10,107.0,6.0,50.0,5.0,57.0,5.7,6.5,0.0,,4.0,23.5,0.0,116.9,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,37,GNB,TE,17,17,28,23,214.0,10.0,70.0,3.0,144.0,6.3,3.7,5.0,4.6,0.0,0.0,0.0,98.5,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,38,GNB,TE,17,17,7,6,66.0,5.0,52.0,8.7,14.0,2.3,8.3,0.0,,1.0,14.3,0.0,145.5,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,39,CHI,TE,17,4,5,4,29.0,2.0,0.0,0.0,29.0,7.3,1.8,0.0,,0.0,0.0,0.0,130.4,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,40,CHI,TE,17,4,2,1,2.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,,0.0,0.0,0.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,41,DEN,TE,5,1,0,0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,Marcedes Lewis,LewiMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,23,BAL,TE,16,3,50,34,552.0,28.0,359.0,10.6,193.0,5.7,10.8,1.0,34.0,3.0,6.0,0.0,124.7,0.0,0.0,0.0,0.0,0.0,0.0,,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,24,BAL,TE,15,4,98,64,852.0,44.0,561.0,8.8,291.0,4.5,10.6,3.0,21.3,7.0,7.1,3.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,PB,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,25,BAL,TE,14,2,88,58,701.0,37.0,519.0,8.9,182.0,3.1,10.2,2.0,29.0,5.0,5.7,1.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,26,BAL,TE,17,9,153,107,1361.0,75.0,903.0,8.4,458.0,4.3,10.3,4.0,26.8,3.0,2.0,9.0,92.5,1.0,0.0,0.0,0.0,0.0,0.0,"PB,AP-1",Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
2022,27,BAL,TE,15,15,113,73,847.0,51.0,604.0,8.3,243.0,3.3,9.7,1.0,73.0,8.0,7.1,3.0,90.8,3.0,8.0,3.0,4.0,4.0,0.0,PB,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,
2023,28,BAL,TE,10,9,61,45,544.0,27.0,327.0,7.3,217.0,4.8,7.3,4.0,11.3,3.0,4.9,0.0,133.5,1.0,0.0,0.0,0.0,0.0,0.0,,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
2024,29,BAL,TE,17,13,69,55,673.0,44.0,485.0,8.8,188.0,3.4,10.5,1.0,55.0,4.0,5.8,1.0,140.9,4.0,5.0,7.0,1.0,4.0,0.0,AP CPoY-19,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1.0,
2025,30,BAL,TE,17,11,70,48,422.0,24.0,321.0,6.7,101.0,2.1,7.4,1.0,48.0,3.0,4.3,3.0,90.3,10.0,48.0,7.0,43.0,5.0,0.0,,Mark Andrews,AndrMa00,,,,,,,,,,,,,,,,,,,,,,,,,4.3,0.5,
2021,23,PIT,TE,16,9,79,60,497.0,35.0,250.0,4.2,247.0,4.1,5.3,8.0,7.5,2.0,2.5,0.0,121.1,0.0,0.0,0.0,0.0,0.0,0.0,,Pat Freiermuth,FreiPa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,24,PIT,TE,16,8,98,63,732.0,37.0,441.0,7.0,291.0,4.6,8.3,6.0,10.5,4.0,4.1,4.0,76.6,0.0,0.0,0.0,0.0,0.0,0.0,,Pat Freiermuth,FreiPa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,25,PIT,TE,12,9,47,32,308.0,20.0,163.0,5.1,145.0,4.5,6.6,2.0,16.0,0.0,0.0,1.0,91.4,0.0,0.0,0.0,0.0,0.0,0.0,,Pat Freiermuth,FreiPa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,26,PIT,TE,17,11,78,65,653.0,32.0,374.0,5.8,279.0,4.3,6.1,4.0,16.3,4.0,5.1,1.0,126.1,0.0,0.0,0.0,0.0,0.0,0.0,,Pat Freiermuth,FreiPa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,27,PIT,TE,17,8,54,41,486.0,21.0,231.0,5.6,255.0,6.2,6.0,3.0,13.7,0.0,0.0,1.0,119.8,0.0,0.0,0.0,0.0,0.0,0.0,,Pat Freiermuth,FreiPa00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,29,NWE,TE,13,11,72,47,682.0,34.0,500.0,10.6,182.0,3.9,12.4,1.0,47.0,3.0,4.2,2.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,,Rob Gronkowski,GronRo00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,31,TAM,TE,16,16,77,45,623.0,29.0,377.0,8.4,246.0,5.5,11.0,1.0,45.0,2.0,2.6,2.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,,Rob Gronkowski,GronRo00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,32,TAM,TE,12,12,89,55,802.0,39.0,452.0,8.2,350.0,6.4,10.1,9.0,6.1,5.0,5.6,0.0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,,Rob Gronkowski,GronRo00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,22,DET,TE,17,14,120,86,889.0,54.0,531.0,6.2,358.0,4.2,7.1,9.0,9.6,5.0,4.2,3.0,110.0,1.0,4.0,0.0,4.0,0.0,0.0,"PB,AP-2,AP ORoY-3",Sam LaPorta,LaPoSa01,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,
2024,23,DET,TE,16,16,83,60,726.0,42.0,383.0,6.4,343.0,5.7,7.0,3.0,20.0,1.0,1.2,2.0,116.8,0.0,0.0,0.0,0.0,0.0,0.0,,Sam LaPorta,LaPoSa01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,24,DET,TE,9,9,49,40,489.0,23.0,215.0,5.4,274.0,6.9,5.7,5.0,8.0,0.0,0.0,0.0,128.7,0.0,0.0,0.0,0.0,0.0,0.0,,Sam LaPorta,LaPoSa01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,22,DET,TE,12,7,59,32,367.0,19.0,167.0,5.2,200.0,6.3,7.5,4.0,8.0,2.0,3.4,0.0,84.5,0.0,0.0,0.0,0.0,0.0,0.0,,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,23,DET,TE,16,16,101,67,723.0,40.0,394.0,5.9,329.0,4.9,7.0,4.0,16.8,7.0,6.9,4.0,90.5,1.0,0.0,0.0,0.0,0.0,0.0,PB,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
2021,24,DET,TE,12,12,84,61,583.0,32.0,384.0,6.3,199.0,3.3,7.4,4.0,15.3,1.0,1.2,3.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,25,2TM,TE,17,14,129,86,914.0,50.0,511.0,5.9,403.0,4.7,7.5,7.0,12.3,7.0,5.4,4.0,89.7,0.0,0.0,0.0,0.0,0.0,0.0,PB,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,26,MIN,TE,15,11,127,95,960.0,48.0,624.0,6.6,336.0,3.5,7.7,4.0,23.8,4.0,3.1,1.0,105.8,0.0,0.0,0.0,0.0,0.0,0.0,,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,27,MIN,TE,10,9,62,41,455.0,33.0,310.0,7.6,145.0,3.5,8.4,1.0,41.0,2.0,3.2,2.0,74.3,0.0,0.0,0.0,0.0,0.0,0.0,AP CPoY-19,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,28,MIN,TE,15,15,66,51,438.0,22.0,219.0,4.3,219.0,4.3,5.2,2.0,25.5,3.0,4.5,0.0,109.3,1.0,0.0,0.0,0.0,0.0,0.0,,T.J. Hockenson,HockTJ00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,
2018,29,KAN,TE,16,16,150,103,1336.0,68.0,767.0,7.4,569.0,5.5,9.2,7.0,14.7,7.0,4.7,3.0,110.3,0.0,0.0,0.0,0.0,0.0,0.0,"PB,AP-1",Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,30,KAN,TE,16,16,136,97,1229.0,65.0,819.0,8.4,410.0,4.2,9.0,6.0,16.2,8.0,5.9,0.0,111.4,1.0,4.0,1.0,3.0,1.0,0.0,"PB,AP-2",Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,
2020,31,KAN,TE,15,15,145,105,1416.0,79.0,829.0,7.9,587.0,5.6,8.5,10.0,10.5,2.0,1.4,3.0,119.8,0.0,0.0,0.0,0.0,0.0,0.0,"PB,AP-1,AP OPoY-4",Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,32,KAN,TE,16,16,134,92,1125.0,80.0,561.0,6.1,564.0,6.1,7.4,8.0,11.5,10.0,7.5,5.0,101.1,2.0,3.0,1.0,3.0,0.0,0.0,"PB,AP-2",Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.0,
2022,33,KAN,TE,17,17,152,110,1338.0,82.0,690.0,6.3,648.0,5.9,7.1,13.0,8.5,8.0,5.3,3.0,117.2,2.0,5.0,1.0,1.0,4.0,0.0,"PB,AP-1,AP OPoY-6",Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,
2023,34,KAN,TE,15,15,121,93,984.0,61.0,514.0,5.5,470.0,5.1,6.7,4.0,23.3,7.0,5.8,2.0,106.9,0.0,0.0,1.0,0.0,0.0,0.0,PB,Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,35,KAN,TE,16,16,133,97,823.0,54.0,482.0,5.0,341.0,3.5,6.4,3.0,32.3,6.0,4.5,4.0,83.6,1.0,1.0,0.0,0.0,1.0,0.0,PB,Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,
2025,36,KAN,TE,17,17,108,76,851.0,46.0,429.0,5.6,422.0,5.6,6.8,1.0,76.0,7.0,6.5,4.0,93.6,1.0,1.0,0.0,1.0,0.0,0.0,PB,Travis Kelce,KelcTr00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
2023,23,GNB,TE,17,8,40,31,355.0,19.0,123.0,4.0,232.0,7.5,3.9,4.0,7.8,0.0,0.0,0.0,120.3,0.0,0.0,0.0,0.0,0.0,0.0,,Tucker Kraft,KrafTu00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,24,GNB,TE,17,17,70,50,707.0,31.0,251.0,5.0,456.0,9.1,5.3,9.0,5.6,5.0,7.1,1.0,131.1,3.0,6.0,5.0,3.0,3.0,0.0,,Tucker Kraft,KrafTu00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
2025,25,GNB,TE,8,8,44,32,489.0,22.0,145.0,4.5,344.0,10.8,4.7,6.0,5.3,3.0,6.8,0.0,148.6,1.0,3.0,0.0,3.0,0.0,0.0,,Tucker Kraft,KrafTu00,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,
2018,25,LAR,TE,16,16,34,24,292.0,16.0,155.0,6.5,137.0,5.7,6.7,3.0,8.0,1.0,2.9,0.0,116.3,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,26,LAR,TE,15,15,89,69,734.0,36.0,338.0,4.9,396.0,5.7,6.6,5.0,13.8,2.0,2.2,1.0,107.6,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,27,LAR,TE,15,15,60,44,521.0,27.0,283.0,6.4,238.0,5.4,8.0,4.0,11.0,3.0,5.0,0.0,127.2,1.0,1.0,0.0,1.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
2021,28,LAR,TE,15,15,85,61,560.0,40.0,279.0,4.6,281.0,4.6,5.3,1.0,61.0,3.0,3.5,3.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,29,LAR,TE,17,17,108,72,620.0,32.0,216.0,3.0,404.0,5.6,3.0,3.0,24.0,7.0,6.5,3.0,79.2,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,30,LAR,TE,15,15,70,47,495.0,26.0,249.0,5.3,246.0,5.2,5.8,2.0,23.5,7.0,10.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,31,LAR,TE,3,3,12,8,66.0,10.0,18.0,2.3,48.0,6.0,2.2,0.0,,0.0,0.0,0.0,120.1,0.0,0.0,0.0,0.0,0.0,0.0,,Tyler Higbee,HigbTy00,,,,,,,,,,,,,,,,,,,,,,,,,,,
